transaction_id,scenario_id,ts,store_id,device,channel,revenue,conversion,aov,_bucket_hour,_in_incident
TXN_0000001,INC_001,2024-01-08T00:50:47+00:00,STORE_004,android,app,0.0,False,72.18,2024-01-08T00:00:00+00:00,False
TXN_0000002,INC_001,2024-01-08T00:23:20+00:00,STORE_005,android,web,121.88,True,121.88,2024-01-08T00:00:00+00:00,False
TXN_0000003,INC_001,2024-01-08T00:25:20+00:00,STORE_002,android,app,90.61,True,90.61,2024-01-08T00:00:00+00:00,False
TXN_0000004,INC_001,2024-01-08T00:49:28+00:00,STORE_005,desktop,web,0.0,False,97.48,2024-01-08T00:00:00+00:00,False
TXN_0000005,INC_001,2024-01-08T00:34:50+00:00,STORE_001,ios,app,0.0,False,70.86,2024-01-08T00:00:00+00:00,False
TXN_0000006,INC_001,2024-01-08T00:42:15+00:00,STORE_003,desktop,web,71.28,True,71.28,2024-01-08T00:00:00+00:00,False
TXN_0000007,INC_001,2024-01-08T00:30:01+00:00,STORE_002,android,app,84.04,True,84.04,2024-01-08T00:00:00+00:00,False
TXN_0000008,INC_001,2024-01-08T00:19:40+00:00,STORE_001,ios,app,109.75,True,109.75,2024-01-08T00:00:00+00:00,False
TXN_0000009,INC_001,2024-01-08T00:19:27+00:00,STORE_003,ios,app,84.26,True,84.26,2024-01-08T00:00:00+00:00,False
TXN_0000010,INC_001,2024-01-08T00:12:24+00:00,STORE_003,desktop,web,94.11,True,94.11,2024-01-08T00:00:00+00:00,False
TXN_0000011,INC_001,2024-01-08T00:22:32+00:00,STORE_003,ios,web,101.56,True,101.56,2024-01-08T00:00:00+00:00,False
TXN_0000012,INC_001,2024-01-08T00:24:49+00:00,STORE_002,ios,web,0.0,False,103.98,2024-01-08T00:00:00+00:00,False
TXN_0000013,INC_001,2024-01-08T00:45:36+00:00,STORE_003,android,app,105.73,True,105.73,2024-01-08T00:00:00+00:00,False
TXN_0000014,INC_001,2024-01-08T00:56:19+00:00,STORE_003,desktop,web,0.0,False,135.31,2024-01-08T00:00:00+00:00,False
TXN_0000015,INC_001,2024-01-08T00:29:21+00:00,STORE_005,desktop,web,0.0,False,125.09,2024-01-08T00:00:00+00:00,False
TXN_0000016,INC_001,2024-01-08T00:59:48+00:00,STORE_003,ios,app,106.23,True,106.23,2024-01-08T00:00:00+00:00,False
TXN_0000017,INC_001,2024-01-08T00:47:42+00:00,STORE_003,desktop,web,88.25,True,88.25,2024-01-08T00:00:00+00:00,False
TXN_0000018,INC_001,2024-01-08T00:50:19+00:00,STORE_002,ios,web,0.0,False,60.3,2024-01-08T00:00:00+00:00,False
TXN_0000019,INC_001,2024-01-08T00:16:16+00:00,STORE_004,ios,web,92.31,True,92.31,2024-01-08T00:00:00+00:00,False
TXN_0000020,INC_001,2024-01-08T00:21:40+00:00,STORE_005,android,app,0.0,False,103.6,2024-01-08T00:00:00+00:00,False
TXN_0000021,INC_001,2024-01-08T00:43:59+00:00,STORE_002,desktop,web,87.13,True,87.13,2024-01-08T00:00:00+00:00,False
TXN_0000022,INC_001,2024-01-08T00:43:30+00:00,STORE_002,desktop,web,0.0,False,122.68,2024-01-08T00:00:00+00:00,False
TXN_0000023,INC_001,2024-01-08T00:33:41+00:00,STORE_005,ios,app,95.29,True,95.29,2024-01-08T00:00:00+00:00,False
